,Gene,chromosome,start,CNV (lr) RNA,CNV (baf) RNA,Methylation RNA,CNV (lr) Protein,CNV (baf) Protein,Methylation Protein,CNV (lr) Phospho,CNV (baf) Phospho,Methylation Phospho,Mutation RNA,Mutation Protein,Mutation Phospho
84,ADPRHL2,chr1,36088875,1,0,0,1,0,0,1,0,0,,,
85,ADRM1,chr20,62302093,1,0,0,1,0,0,1,0,0,,,
86,ADSL,chr22,40346500,1,0,0,1,0,0,1,0,0,,,
87,ADSSL1,chr14,104724186,1,0,0,0,0,0,0,0,0,,,
88,AFAP1,chr4,7758714,0,0,0,0,0,0,0,0,0,,,
89,AFAP1L1,chr5,149271871,0,0,0,0,0,0,0,0,0,,,
90,AFAP1L2,chr10,114294824,0,0,0,0,0,0,0,0,0,,,
91,AFF1,chr4,86935002,1,0,0,1,0,0,1,0,0,,,
92,AFF4,chr5,132875379,1,0,0,1,0,0,1,0,0,,,
93,AFG3L2,chr18,12328944,1,0,0,1,0,0,1,0,0,,,
94,AFTPH,chr2,64524305,1,0,0,1,0,0,1,0,0,,,
95,AGAP1,chr2,235494089,1,0,0,1,0,0,1,0,0,,,
96,AGAP3,chr7,151085831,1,0,0,1,0,0,1,0,0,,,
97,AGFG1,chr2,227472152,1,0,0,1,0,0,1,0,0,,,
98,AGFG2,chr7,100539211,0,0,0,0,0,0,0,0,0,,,
99,AGGF1,chr5,77029251,1,0,0,0,0,0,0,0,0,,,
100,AGMAT,chr1,15572353,0,0,0,0,0,0,0,0,0,,,
101,AGPS,chr2,177392644,1,0,0,0,0,0,0,0,0,,,
102,AGRN,chr1,1020123,0,0,0,0,0,0,0,0,0,,,
103,AGTRAP,chr1,11736084,1,0,0,1,0,0,1,0,0,,,
104,AHCTF1,chr1,246839098,1,0,0,1,0,0,1,0,0,,,
105,AHDC1,chr1,27534035,1,0,0,1,0,1,1,0,1,,,
106,AHNAK,chr11,62433542,1,1,1,1,1,1,1,1,1,,,
107,AHNAK2,chr14,104937244,1,0,0,1,0,0,1,0,0,,,
108,AIDA,chr1,222668013,1,0,0,1,0,0,1,0,0,,,
109,AIF1L,chr9,131096476,1,0,0,1,0,0,1,0,0,,,
110,AIFM1,chrX,130129362,0,0,0,0,0,0,0,0,0,,,
111,AIMP2,chr7,6009245,1,0,0,0,0,0,0,0,0,,,
112,AJUBA,chr14,22971174,1,0,0,1,0,0,1,0,0,,,
113,AK1,chr9,127866480,1,0,0,0,0,0,0,0,0,,,
114,AK2,chr1,33007940,1,0,0,0,0,0,0,0,0,,,
115,AK4,chr1,65147549,1,0,0,0,0,0,0,0,0,,,
116,AKAP1,chr17,57085092,1,1,0,1,1,0,1,1,0,,,
117,AKAP10,chr17,19904302,0,0,0,0,0,0,0,0,0,,,
118,AKAP11,chr13,42272153,0,0,0,0,0,0,0,0,0,,,
119,AKAP12,chr6,151239999,1,0,0,0,0,0,0,0,0,,,
120,AKAP13,chr15,85380571,1,0,0,1,0,0,1,0,0,,,
121,AKAP8,chr19,15353385,1,0,0,1,0,0,1,0,0,,,
122,AKAP8L,chr19,15380048,1,0,0,1,0,0,1,0,0,,,
123,AKAP9,chr7,91940867,1,0,0,1,0,0,1,0,0,,,
124,AKR1A1,chr1,45550543,1,0,0,0,0,0,0,0,0,,,
125,AKR1B1,chr7,134442350,0,0,1,0,0,1,0,0,1,,,
126,AKR7A2,chr1,19303965,1,0,0,0,0,0,0,0,0,,,
127,AKT1,chr14,104769349,1,0,0,1,0,0,1,0,0,,,
128,AKT1S1,chr19,49869033,1,0,0,0,0,0,0,0,0,,,
129,AKT2,chr19,40230317,0,0,0,0,0,0,0,0,0,,,
130,AKTIP,chr16,53491040,1,0,0,1,0,0,1,0,0,,,
131,ALAD,chr9,113386317,1,0,0,0,0,0,0,0,0,,,
132,ALDH16A1,chr19,49453169,1,0,0,1,0,0,1,0,0,,,
133,ALDH1A2,chr15,57953424,0,0,0,0,0,0,0,0,0,,,
134,ALDH1L1,chr3,126103562,0,0,0,0,0,0,0,0,0,,,
135,ALDH2,chr12,111766887,0,0,0,0,0,0,0,0,0,,,
136,ALDH3A2,chr17,19648136,0,0,0,0,0,0,0,0,0,,,
137,ALDH4A1,chr1,18871430,0,0,0,0,0,0,0,0,0,,,
138,ALDH5A1,chr6,24494852,0,0,0,0,0,0,0,0,0,,,
139,ALDH6A1,chr14,74056850,1,0,0,0,0,0,0,0,0,,,
140,ALDH7A1,chr5,126531200,1,0,0,1,0,0,1,0,0,,,
141,ALDH9A1,chr1,165662216,1,0,0,0,0,0,0,0,0,,,
142,ALDOA,chr16,30064164,0,1,0,0,1,0,0,1,0,,,
143,ALG3,chr3,184242301,1,0,0,1,0,0,1,0,0,,,
144,ALKBH3,chr11,43880811,0,0,0,0,0,0,0,0,0,,,
145,ALKBH5,chr17,18183078,1,0,0,1,0,0,1,0,0,,,
146,ALPL,chr1,21509372,0,0,1,0,0,1,0,0,1,,,
147,ALS2,chr2,201700554,1,0,0,1,0,0,1,0,0,,,
148,ALYREF,chr17,81887844,1,0,0,1,0,0,1,0,0,,,
149,AMACR,chr5,33986178,1,0,0,1,0,0,1,0,0,,,
150,AMBRA1,chr11,46396414,0,0,0,0,0,0,0,0,0,,,
151,AMFR,chr16,56361452,1,0,0,1,0,0,1,0,0,,,
152,AMN,chr14,102922656,0,0,0,0,0,0,0,0,0,,,
153,AMOT,chrX,112774503,1,0,0,0,0,0,0,0,0,,,
154,AMOTL1,chr11,94706431,1,1,0,1,1,0,1,1,0,,,
155,AMOTL2,chr3,134355874,1,0,0,0,0,0,0,0,0,,,
156,AMPD2,chr1,109616104,1,0,0,1,0,0,1,0,0,,,
157,AMPD3,chr11,10308313,1,0,1,0,0,1,0,0,1,,,
158,ANAPC1,chr2,111611639,1,0,0,0,0,0,0,0,0,,,
159,ANAPC2,chr9,137174784,1,0,0,0,0,0,0,0,0,,,
160,ANAPC4,chr4,25377213,0,0,0,0,0,0,0,0,0,,,
161,ANK1,chr8,41653220,0,0,0,0,0,0,0,0,0,,,
162,ANK3,chr10,60026298,0,0,1,0,0,1,0,0,1,,,
163,ANKFY1,chr17,4163907,1,0,0,1,0,0,1,0,0,,,
164,ANKIB1,chr7,92246234,0,0,0,0,0,0,0,0,0,,,
165,ANKLE2,chr12,132725503,1,0,0,1,0,0,1,0,0,,,
166,ANKMY2,chr7,16599776,1,0,0,1,0,0,1,0,0,,,
167,ANKRD11,chr16,89267619,1,0,0,1,0,0,1,0,0,,,
168,ANKRD13A,chr12,109999186,1,0,0,0,0,0,0,0,0,,,
169,ANKRD17,chr4,73073376,1,0,0,1,0,0,1,0,0,,,
170,ANKRD26,chr10,26991914,0,0,0,0,0,0,0,0,0,,,
171,ANKRD27,chr19,32597007,1,0,0,1,0,0,1,0,0,,,
172,ANKRD28,chr3,15667236,1,0,0,1,0,0,1,0,0,,,
173,ANKRD50,chr4,124664052,0,0,0,0,0,0,0,0,0,,,
174,ANKRD54,chr22,37830855,1,0,0,1,0,0,1,0,0,,,
175,ANKRD6,chr6,89433170,0,0,0,0,0,0,0,0,0,,,
176,ANKS1A,chr6,34889265,1,1,0,1,1,0,1,1,0,,,
177,ANKS3,chr16,4696510,1,0,0,0,0,0,0,0,0,,,
178,ANKS6,chr9,98731329,1,0,0,1,0,0,1,0,0,,,
179,ANKZF1,chr2,219229757,1,0,0,1,0,0,1,0,0,,,
180,ANO10,chr3,43354859,1,0,0,1,0,0,1,0,0,,,
181,ANO6,chr12,45215987,1,0,0,0,0,0,0,0,0,,,
182,ANP32A,chr15,68778535,1,0,0,1,0,0,1,0,0,,,
183,ANTXR1,chr2,69013178,0,0,0,0,0,0,0,0,0,,,
184,ANXA2,chr15,60347134,1,0,0,1,0,0,1,0,0,,,
185,ANXA4,chr2,69644425,1,0,0,1,0,0,1,0,0,,,
186,ANXA5,chr4,121667955,0,0,0,0,0,0,0,0,0,,,
187,ANXA6,chr5,151100712,0,0,0,0,0,0,0,0,0,,,
188,AOX1,chr2,200585868,1,1,0,1,1,0,1,1,0,,,
189,AP1AR,chr4,112231737,1,0,0,0,0,0,0,0,0,,,
190,AP1G1,chr16,71729000,1,0,0,1,0,0,1,0,0,,,
191,AP1M1,chr19,16197578,0,0,0,0,0,0,0,0,0,,,
192,AP1S1,chr7,101154400,0,0,0,0,0,0,0,0,0,,,
193,AP2A1,chr19,49766968,0,1,0,0,0,0,0,0,0,,,
194,AP2A2,chr11,924894,0,0,0,0,0,0,0,0,0,,,
195,AP2M1,chr3,184174689,1,0,0,1,0,0,1,0,0,,,
196,AP3B1,chr5,78000525,1,0,0,1,0,0,1,0,0,,,
197,AP3D1,chr19,2100988,1,0,0,0,0,0,0,0,0,,,
198,AP3M1,chr10,74120255,0,0,0,0,0,0,0,0,0,,,
199,AP4B1,chr1,113894748,1,0,0,0,0,0,0,0,0,,,
200,AP4E1,chr15,50908672,1,0,0,0,0,0,0,0,0,,,
201,AP5Z1,chr7,4775615,0,0,0,0,0,0,0,0,0,,,
202,APBA1,chr9,69427530,1,0,0,1,0,0,1,0,0,,,
203,APBA3,chr19,3750819,1,0,0,1,0,0,1,0,0,,,
204,APBB1,chr11,6395124,1,0,0,1,0,0,1,0,0,,,
205,APBB1IP,chr10,26438203,1,0,0,1,0,1,1,0,0,,,
206,APBB2,chr4,40810027,1,0,0,1,0,0,1,0,0,,,
207,APC,chr5,112707498,1,0,0,1,0,0,1,0,0,,,
208,APEH,chr3,49674002,1,0,0,1,0,0,1,0,0,,,
209,API5,chr11,43311963,1,0,0,1,0,0,1,0,0,,,
210,APIP,chr11,34853094,1,0,0,1,0,0,1,0,0,,,
211,APLF,chr2,68467561,1,0,0,1,0,0,1,0,0,,,
212,APLP2,chr11,130068147,1,0,0,0,0,0,0,0,0,,,
213,APOB,chr2,21001429,0,0,0,0,0,0,0,0,0,,,
214,APP,chr21,25880550,1,0,0,1,0,0,1,0,0,,,
215,APPL1,chr3,57227726,1,1,0,1,0,0,1,0,0,,,
216,APRT,chr16,88809339,1,0,0,1,0,0,1,0,0,,,
217,APTX,chr9,32972606,1,0,0,1,0,0,1,0,0,,,
218,AQR,chr15,34851782,0,0,0,0,0,0,0,0,0,,,
219,ARAF,chrX,47561100,0,0,0,0,0,0,0,0,0,,,
220,ARAP1,chr11,72685069,1,0,0,1,0,0,1,0,0,,,
221,ARAP3,chr5,141653401,0,0,0,0,0,0,0,0,0,,,
222,ARCN1,chr11,118572390,1,0,0,0,0,0,0,0,0,,,
223,ARF6,chr14,49893092,0,0,0,0,0,0,0,0,0,,,
224,ARFGAP1,chr20,63272785,1,0,0,1,0,0,1,0,0,,,
225,ARFGAP2,chr11,47164299,0,0,0,0,0,0,0,1,0,,,
226,ARFGAP3,chr22,42796502,1,0,0,1,0,0,1,0,0,,,
227,ARFGEF1,chr8,67173511,1,0,0,1,0,0,1,0,0,,,
228,ARFGEF2,chr20,48921890,1,0,0,1,0,0,1,0,0,,,
229,ARFIP1,chr4,152779937,1,0,0,1,0,0,1,0,0,,,
230,ARFIP2,chr11,6474683,0,0,0,0,0,0,0,0,0,,,
231,ARGLU1,chr13,106541673,1,0,0,1,0,0,1,0,0,,,
232,ARHGAP1,chr11,46677080,0,0,0,0,0,0,0,0,0,,,
233,ARHGAP10,chr4,147732063,1,0,0,0,0,0,0,0,0,,,
234,ARHGAP12,chr10,31805404,1,1,0,0,1,0,0,1,0,,,
235,ARHGAP21,chr10,24583609,1,0,0,1,0,0,1,1,0,,,
236,ARHGAP22,chr10,48446034,1,0,0,1,0,0,1,0,0,,,
237,ARHGAP23,chr17,38419280,1,0,0,1,0,0,1,0,0,,,
238,ARHGAP26,chr5,142770377,1,0,0,1,0,0,1,0,0,,,
239,ARHGAP27,chr17,45393902,0,0,0,0,0,0,0,0,0,,,
240,ARHGAP29,chr1,94148988,0,0,0,0,0,0,0,0,0,,,
241,ARHGAP31,chr3,119294373,0,0,1,0,0,1,0,0,1,,,
242,ARHGAP4,chrX,153907367,0,0,0,0,0,0,0,0,0,,,
243,ARHGAP42,chr11,100687653,1,0,0,1,0,0,1,0,0,,,
244,ARHGAP44,chr17,12789539,1,1,0,0,1,0,0,1,0,,,
245,ARHGAP5,chr14,32076114,1,0,0,1,0,0,1,0,0,,,
246,ARHGAP6,chrX,11137543,0,0,0,0,0,0,0,0,0,,,
247,ARHGAP9,chr12,57472255,0,0,0,0,0,0,0,0,0,,,
248,ARHGDIA,chr17,81867721,1,0,0,0,0,0,0,0,0,,,
249,ARHGEF1,chr19,41883161,0,0,0,0,0,0,0,0,0,,,
250,ARHGEF10,chr8,1823976,1,0,1,0,0,1,0,0,1,,,
251,ARHGEF10L,chr1,17539835,1,0,0,0,0,0,0,0,0,,,
252,ARHGEF11,chr1,156934840,1,1,0,1,1,0,1,1,0,,,
253,ARHGEF12,chr11,120336914,1,0,0,1,0,0,1,0,0,,,
254,ARHGEF16,chr1,3454426,1,0,0,1,0,0,1,0,0,,,
255,ARHGEF17,chr11,73308289,1,0,1,0,0,1,0,0,1,,,
256,ARHGEF18,chr19,7395113,1,0,0,1,0,0,1,0,0,,,
257,ARHGEF2,chr1,155946851,0,0,0,0,0,0,0,0,0,,,
258,ARHGEF37,chr5,149551947,0,0,0,0,0,0,0,0,0,,,
259,ARHGEF40,chr14,21070270,1,0,0,1,0,0,1,0,0,,,
260,ARHGEF6,chrX,136665547,0,0,1,0,0,0,0,0,0,,,
261,ARHGEF7,chr13,111114559,1,0,0,1,0,0,1,0,0,,,
262,ARID1A,chr1,26693236,1,0,0,1,0,0,1,0,0,,,
263,ARID2,chr12,45729665,1,0,0,1,0,0,1,0,0,,,
264,ARID3A,chr19,925781,1,0,0,0,0,0,0,0,0,,,
265,ARID4A,chr14,58298385,1,0,0,1,0,0,1,0,0,,,
266,ARID4B,chr1,235131634,1,0,0,1,0,0,1,0,0,,,
267,ARIH1,chr15,72474326,1,0,0,1,0,0,1,0,0,,,
268,ARL2,chr11,65014113,0,0,0,0,0,0,0,0,0,,,
269,ARL2BP,chr16,57245098,1,0,0,1,0,0,1,0,0,,,
270,ARL3,chr10,102673731,1,0,0,1,0,0,1,0,0,,,
271,ARL6,chr3,97764521,1,0,0,1,0,0,1,0,0,,,
272,ARL6IP4,chr12,122980060,1,0,0,1,0,0,1,0,0,,,
273,ARL6IP6,chr2,152717893,1,0,0,1,0,0,1,0,0,,,
274,ARMC1,chr8,65602456,1,0,0,1,0,0,1,0,0,,,
275,ARMC10,chr7,103074881,1,0,0,1,0,0,1,0,0,,,
276,ARMC9,chr2,231198546,1,0,0,1,0,0,1,0,0,,,
277,ARNT,chr1,150809705,1,0,0,1,1,0,1,1,0,,,
278,ARPC1B,chr7,99374249,1,0,0,0,0,0,0,0,0,,,
279,ARPC5L,chr9,124862130,1,0,0,1,0,0,1,0,0,,,
280,ARPP19,chr15,52547045,1,0,0,1,0,0,1,0,0,,,
281,ARRB2,chr17,4710489,1,0,0,0,0,0,0,0,0,,,
282,ARVCF,chr22,19969896,0,1,0,0,1,0,0,1,0,,,
283,ASAP1,chr8,130052104,1,0,0,0,0,0,0,0,0,,,
284,ASAP2,chr2,9206765,0,1,0,0,1,0,0,1,0,,,
285,ASCC2,chr22,29788608,0,0,0,0,0,0,0,0,0,,,
286,ASCC3,chr6,100508194,1,0,0,1,0,0,1,0,0,,,
287,ASH2L,chr8,38105242,1,0,0,1,0,0,1,0,0,,,
288,ASPSCR1,chr17,81976807,1,1,0,1,1,0,1,1,0,,,
289,ASRGL1,chr11,62337448,0,0,0,0,0,0,0,0,0,,,
290,ASS1,chr9,130444929,0,0,0,0,0,0,0,0,0,,,
291,ATAD1,chr10,87751512,1,1,0,1,1,0,1,1,0,,,
292,ATAD3A,chr1,1512151,0,0,0,0,0,0,0,0,0,,,
293,ATE1,chr10,121740421,1,0,0,1,0,0,1,0,0,,,
294,ATF1,chr12,50763710,1,0,0,1,0,0,0,0,0,,,
295,ATF2,chr2,175072250,1,0,0,1,0,0,1,0,0,,,
296,ATF7,chr12,53507856,0,0,0,0,0,0,0,0,0,,,
297,ATF7IP,chr12,14365632,1,0,0,1,0,0,1,0,0,,,
298,ATG13,chr11,46617527,1,0,0,1,0,0,1,0,0,,,
299,ATG16L1,chr2,233210051,1,0,0,1,0,0,1,0,0,,,
300,ATG2A,chr11,64894546,1,0,0,1,0,0,1,0,0,,,
301,ATG2B,chr14,96279202,1,0,0,1,0,0,1,0,0,,,
302,ATG4B,chr2,241637213,1,0,0,1,0,0,1,0,0,,,
303,ATG9A,chr2,219219380,1,0,0,1,0,0,1,0,0,,,
304,ATL1,chr14,50532509,0,0,0,0,0,0,0,0,0,,,
305,ATL2,chr2,38294880,1,0,0,1,0,0,1,0,0,,,
306,ATL3,chr11,63624087,1,0,1,0,0,1,0,0,1,,,
307,ATM,chr11,108222484,1,0,0,0,0,0,0,0,0,,,
308,ATN1,chr12,6924463,1,0,0,0,0,0,0,0,0,,,
309,ATOX1,chr5,151742316,1,0,0,1,0,0,1,0,0,,,
310,ATP11A,chr13,112690329,1,0,0,1,0,0,1,0,0,,,
311,ATP11B,chr3,182793500,1,0,0,1,0,0,1,0,0,,,
312,ATP13A1,chr19,19645198,1,0,0,0,0,0,0,0,0,,,
313,ATP1A1,chr1,116372668,1,1,0,1,1,0,1,1,0,,,
314,ATP2A2,chr12,110280756,1,0,1,1,0,1,1,0,1,,,
315,ATP2B1,chr12,89588049,1,0,0,1,0,0,1,0,0,,,
316,ATP2B4,chr1,203626561,1,0,0,1,0,0,1,0,0,,,
317,ATP6V0A1,chr17,42458844,0,0,0,0,0,0,0,0,0,,,
318,ATP6V0A2,chr12,123712318,1,0,0,1,0,0,1,0,0,,,
319,ATP6V1E1,chr22,17592136,1,0,0,1,0,0,1,0,0,,,
320,ATP6V1G1,chr9,114587746,1,1,0,1,0,0,1,0,0,,,
321,ATP7A,chrX,77910656,0,0,0,0,0,0,0,0,0,,,
322,ATP8A1,chr4,42408373,1,0,0,1,0,0,1,0,0,,,
323,ATP8B1,chr18,57646426,1,0,0,0,0,0,0,0,0,,,
324,ATR,chr3,142449235,0,0,0,0,0,0,0,0,0,,,
325,ATRX,chrX,77504878,0,0,0,0,0,0,0,1,0,,,
326,ATXN1,chr6,16299112,1,0,0,1,0,0,1,0,0,,,
327,ATXN1L,chr16,71845991,1,0,0,1,0,0,1,0,0,,,
328,ATXN2,chr12,111443485,1,0,0,1,0,0,1,0,0,,,
329,ATXN2L,chr16,28823035,1,0,0,1,0,0,1,0,0,,,
330,ATXN3,chr14,92044496,1,0,0,1,0,0,1,0,0,,,
331,ATXN7L3B,chr12,74537827,1,0,0,0,0,0,0,0,0,,,
332,AUP1,chr2,74526645,1,0,0,1,0,0,1,0,0,,,
333,AUTS2,chr7,69598296,0,0,0,0,0,0,0,0,0,,,
334,AVEN,chr15,33866227,1,0,0,0,0,0,0,0,0,,,
335,AVL9,chr7,32495426,1,0,0,1,0,0,1,0,0,,,
336,AZI2,chr3,28315003,1,1,0,1,1,0,1,1,0,,,
337,B4GALT1,chr9,33104082,0,0,0,0,0,0,0,0,0,,,
338,BACH1,chr21,29194071,1,0,0,1,0,0,1,0,0,,,
339,BAD,chr11,64269830,0,0,0,0,0,0,0,0,0,,,
340,BAG1,chr9,33247820,1,0,0,1,0,0,1,0,0,,,
341,BAG3,chr10,119651370,1,0,0,1,0,0,1,0,0,,,
342,BAG6,chr6,31639028,1,0,0,1,0,0,1,0,0,,,
343,BAIAP2,chr17,81035122,1,0,0,1,0,0,1,0,0,,,
344,BAIAP2L1,chr7,98291651,0,0,0,0,1,0,0,1,0,,,
345,BANP,chr16,87949244,0,0,0,0,0,0,0,0,0,,,
346,BAP1,chr3,52401013,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
347,BASP1,chr5,17065598,0,0,0,0,0,0,0,0,0,,,
348,BAZ1A,chr14,34752731,1,0,0,1,0,0,1,0,0,,,
349,BAZ1B,chr7,73440398,1,0,0,1,0,0,1,0,0,,,
350,BAZ2A,chr12,56595596,1,0,0,1,0,0,1,0,0,,,
351,BBX,chr3,107522936,1,0,0,1,0,0,1,0,0,,,
352,BCAM,chr19,44809059,0,0,0,0,0,0,0,0,0,,,
353,BCAP31,chrX,153700492,0,0,0,0,0,0,0,0,0,,,
354,BCAR1,chr16,75228187,1,0,0,1,0,0,1,0,0,,,
355,BCAR3,chr1,93561786,1,0,0,0,0,0,0,0,0,,,
356,BCAS3,chr17,60677453,1,0,0,1,0,0,1,0,0,,,
357,BCCIP,chr10,125823546,1,0,0,1,0,0,1,0,0,,,
358,BCKDHA,chr19,41397460,0,0,0,0,0,0,0,0,0,,,
359,BCKDK,chr16,31106107,0,1,0,0,0,0,0,0,0,,,
360,BCL10,chr1,85265776,1,0,0,1,0,0,1,0,0,,,
361,BCL11B,chr14,99169287,1,0,0,1,0,0,1,0,0,,,
362,BCL2,chr18,63123346,1,0,0,1,0,0,1,0,0,,,
363,BCL2L11,chr2,111119378,0,0,0,0,0,0,0,0,0,,,
364,BCL2L13,chr22,17628855,1,0,0,1,0,0,1,0,0,,,
365,BCL3,chr19,44747705,1,0,0,1,0,0,1,0,0,,,
366,BCL7B,chr7,73536356,1,0,0,1,0,0,1,0,0,,,
367,BCL7C,chr16,30833626,0,0,1,0,0,1,0,0,0,,,
368,BCL9L,chr11,118893875,1,0,0,0,0,1,0,0,1,,,
