,Gene,chromosome,start,CNV (lr) RNA,CNV (baf) RNA,Methylation RNA,CNV (lr) Protein,CNV (baf) Protein,Methylation Protein,CNV (lr) Phospho,CNV (baf) Phospho,Methylation Phospho,Mutation RNA,Mutation Protein,Mutation Phospho
89,CTPS1,chr1,41445007,1,0,0,1,0,0,1,0,0,,,
90,CTTNBP2NL,chr1,112938803,1,0,0,1,0,0,1,0,0,,,
91,CYP4X1,chr1,47427036,0,0,1,0,0,0,0,0,0,,,
92,DCAF6,chr1,167905021,0,0,0,0,0,0,0,0,0,,,
93,DCAF8,chr1,160185505,1,0,0,1,0,0,1,0,0,,,
94,DDI2,chr1,15943995,1,0,0,1,0,0,1,0,0,,,
95,DDOST,chr1,20978270,0,0,0,0,0,0,0,0,0,,,
96,DDX20,chr1,112297867,1,0,0,1,0,0,1,0,0,,,
97,DDX59,chr1,200593024,1,0,0,1,0,0,1,0,0,,,
98,DEDD,chr1,161090764,0,0,0,0,0,0,0,0,0,,,
99,DENND1B,chr1,197473878,1,0,0,1,0,0,1,0,0,,,
100,DENND2C,chr1,115125469,0,0,0,0,0,0,0,0,0,,,
101,DENND4B,chr1,153901977,1,0,0,1,0,0,1,0,0,,,
102,DFFA,chr1,10516579,1,0,0,1,0,0,1,0,0,,,
103,DMAP1,chr1,44679127,1,0,0,1,0,0,1,0,0,,,
104,DNAJB4,chr1,78444859,1,0,0,1,0,0,1,0,0,,,
105,DNAJC6,chr1,65713902,0,0,0,0,0,0,0,0,0,,,
106,DNAJC8,chr1,28525967,0,0,0,0,0,0,0,0,0,,,
107,DNALI1,chr1,38022520,0,0,1,0,0,1,0,0,0,,,
108,DNTTIP2,chr1,94333373,1,0,0,1,0,0,1,0,0,,,
109,DPYD,chr1,97543299,1,0,0,1,0,0,1,0,0,,,
110,DR1,chr1,93811445,1,0,0,1,0,0,1,0,0,,,
111,DSTYK,chr1,205111632,0,0,0,0,0,0,0,0,0,,,
112,DVL1,chr1,1270656,1,0,0,1,0,0,1,0,0,,,
113,ECE1,chr1,21543740,0,0,0,0,0,0,0,0,0,,,
114,EDARADD,chr1,236511562,0,0,0,0,0,0,0,0,0,,,
115,EFCAB14,chr1,47124366,1,0,0,0,0,0,0,0,0,,,
116,EFHD2,chr1,15736391,1,0,0,0,0,0,0,0,0,,,
117,EGLN1,chr1,231499497,1,0,0,1,0,0,1,0,0,,,
118,EIF2D,chr1,206744620,1,0,0,1,0,0,1,0,0,,,
119,EIF4G3,chr1,21132963,1,0,0,1,0,0,1,0,0,,,
120,ENAH,chr1,225674537,1,0,0,1,0,0,1,0,0,,,
121,ENO1,chr1,8921061,1,0,0,1,0,0,1,0,0,,,
122,ENSA,chr1,150573327,1,0,0,1,0,0,1,0,0,,,
123,EPB41,chr1,29213603,1,0,0,1,0,0,1,0,0,,,
124,EPHA2,chr1,16450832,1,0,0,0,0,0,0,0,0,,,
125,EPHB2,chr1,23037332,0,0,0,0,0,0,0,0,0,,,
126,EPRS,chr1,220141943,1,0,0,0,0,0,0,0,0,,,
127,EPS15,chr1,51819935,1,0,0,1,0,0,1,0,0,,,
128,ERMAP,chr1,43282795,0,0,0,0,0,0,0,0,0,,,
129,ERRFI1,chr1,8064464,0,0,0,0,0,0,0,0,0,,,
130,ESPN,chr1,6484848,0,0,0,0,0,0,0,0,0,,,
131,ETV3,chr1,157090983,1,0,0,1,0,0,1,0,0,,,
132,EVA1B,chr1,36787632,0,0,0,0,0,0,0,0,0,,,
133,EVI5,chr1,92974253,1,0,0,1,0,0,1,0,0,,,
134,EXO1,chr1,242011269,0,0,0,0,0,0,0,0,0,,,
135,EXOC8,chr1,231468480,1,0,0,1,0,0,1,0,0,,,
136,EXOSC10,chr1,11126675,1,0,0,0,0,0,0,0,0,,,
137,EYA3,chr1,28296855,1,0,0,1,0,0,1,0,0,,,
138,F11R,chr1,160965001,1,0,0,1,0,0,1,0,0,,,
139,FAF1,chr1,50905150,1,0,0,1,0,0,1,0,0,,,
140,FAM102B,chr1,109102711,0,0,0,0,0,0,0,0,0,,,
141,FAM129A,chr1,184759858,0,1,0,0,1,0,0,0,0,,,
142,FAM213B,chr1,2517930,1,0,0,1,0,0,1,0,0,,,
143,FAM89A,chr1,231154704,0,0,0,0,0,0,0,0,0,,,
144,FBLIM1,chr1,16083102,0,0,0,0,0,0,0,0,0,,,
145,FBXO28,chr1,224301789,0,0,0,0,0,0,0,0,0,,,
146,FBXO42,chr1,16573334,1,0,0,1,0,0,1,0,0,,,
147,FBXO44,chr1,11714432,1,0,0,1,0,0,1,0,0,,,
148,FBXO6,chr1,11724181,1,0,0,1,0,0,1,0,0,,,
149,FGGY,chr1,59762310,0,0,0,0,0,0,0,0,0,,,
150,FH,chr1,241660903,1,0,0,0,0,0,0,0,0,,,
151,FHL3,chr1,38462442,1,0,0,0,0,0,0,0,0,,,
152,FNBP1L,chr1,93913688,1,0,0,1,0,0,1,0,0,,,
153,FOXJ3,chr1,42642210,1,0,0,1,0,0,1,0,0,,,
154,FUBP1,chr1,78409740,1,0,0,1,0,0,1,0,0,,,
155,GALNT2,chr1,230193536,0,0,0,0,0,0,0,0,0,,,
156,GATAD2B,chr1,153777201,1,0,0,1,0,0,1,0,0,,,
157,GCLM,chr1,94350761,1,0,0,1,0,0,1,0,0,,,
158,GDAP2,chr1,118406107,1,0,0,1,0,0,1,0,0,,,
159,GLUL,chr1,182350839,0,0,0,0,0,0,0,0,0,,,
160,GNB1,chr1,1716729,1,0,0,1,0,0,1,0,0,,,
161,GNG12,chr1,68167149,1,0,1,1,0,0,1,0,0,,,
162,GNG5,chr1,84964008,0,0,0,0,0,0,0,0,0,,,
163,GNL2,chr1,38032417,1,0,0,1,0,0,1,0,0,,,
164,GON4L,chr1,155719508,1,0,0,1,0,0,1,0,0,,,
165,GPATCH2,chr1,217600334,1,0,0,1,0,0,1,0,0,,,
166,GPBP1L1,chr1,46092976,1,0,0,1,0,0,1,0,0,,,
167,GSTM3,chr1,110276554,1,0,1,1,0,1,1,0,0,,,
168,GTF2B,chr1,89318615,1,0,0,1,0,0,1,0,0,,,
169,GUK1,chr1,228327663,0,0,0,0,0,0,0,0,0,,,
170,H3F3A,chr1,226249552,0,0,0,0,0,0,0,0,0,,,
171,HDAC1,chr1,32757687,1,0,0,1,0,0,1,0,0,,,
172,HDGF,chr1,156711899,1,0,0,1,0,0,1,0,0,,,
173,HEATR1,chr1,236712305,0,0,0,0,0,0,0,0,0,,,
174,HIST2H2BE,chr1,149856010,0,0,0,0,0,0,0,0,0,,,
175,HIVEP3,chr1,41972036,1,0,0,1,0,0,1,0,0,,,
176,HMGN2,chr1,26798941,1,0,0,1,0,0,1,0,0,,,
177,HNRNPR,chr1,23630264,1,0,0,1,0,0,1,0,0,,,
178,HNRNPU,chr1,245014468,1,0,0,1,0,0,1,0,0,,,
179,HOOK1,chr1,60280458,1,0,0,1,0,0,1,0,0,,,
180,HP1BP3,chr1,21069154,1,0,0,1,0,0,1,0,0,,,
181,IARS2,chr1,220267444,0,0,0,0,0,0,0,0,0,,,
182,IGSF3,chr1,117117031,1,0,0,1,0,0,1,0,0,,,
183,ILF2,chr1,153634512,1,0,0,1,0,0,1,0,0,,,
184,INPP5B,chr1,38326369,1,0,0,1,0,0,1,0,0,,,
185,IQGAP3,chr1,156495197,0,0,0,0,0,0,0,0,0,,,
186,IRF2BP2,chr1,234740015,1,0,0,1,0,0,1,0,0,,,
187,IRF6,chr1,209959036,1,0,0,1,0,0,1,0,0,,,
188,ITPKB,chr1,226819391,1,0,0,1,0,0,1,0,0,,,
189,IVNS1ABP,chr1,185265520,1,0,0,0,0,0,0,0,0,,,
190,JUN,chr1,59246465,1,0,0,1,0,0,1,0,0,,,
191,KANK4,chr1,62702651,0,0,0,0,0,0,0,0,0,,,
192,KAZN,chr1,14925200,1,0,0,1,0,0,1,0,0,,,
193,KCNA3,chr1,111214310,0,0,1,0,0,1,0,0,1,,,
194,KCNAB2,chr1,6051526,1,0,0,0,0,0,0,0,0,,,
195,KCTD3,chr1,215740735,0,0,0,0,0,0,0,0,0,,,
196,KDM1A,chr1,23345941,1,0,0,1,0,0,1,0,0,,,
197,KDM4A,chr1,44115829,1,0,0,1,0,0,1,0,0,,,
198,KDM5B,chr1,202696526,1,0,0,1,0,0,1,0,0,,,
199,KHDRBS1,chr1,32479430,1,0,0,1,0,0,1,0,0,,,
200,KIAA0319L,chr1,35899091,1,0,0,1,0,0,1,0,0,,,
201,KIAA1324,chr1,109656301,1,0,1,0,0,1,0,0,1,,,
202,KIAA1522,chr1,33207486,1,0,0,1,0,0,1,0,0,,,
203,KIF14,chr1,200520628,1,0,0,0,0,0,0,0,0,,,
204,KIF1B,chr1,10270863,1,0,0,1,0,0,1,0,0,,,
205,KIF21B,chr1,200938520,0,0,0,0,0,0,0,0,0,,,
206,KIF26B,chr1,245318287,0,0,0,0,0,0,0,0,0,,,
207,KIFAP3,chr1,169890467,0,0,0,0,0,0,0,0,0,,,
208,KTI12,chr1,52497775,0,0,1,0,0,1,0,0,0,,,
209,LAD1,chr1,201342372,1,0,0,0,0,0,0,0,0,,,
210,LAMC1,chr1,182992595,0,0,0,0,0,0,0,0,0,,,
211,LAMTOR5,chr1,110943871,1,0,0,0,0,0,0,0,0,,,
212,LBR,chr1,225589204,1,0,0,1,0,0,1,0,0,,,
213,LDLRAP1,chr1,25870071,1,0,0,1,0,0,1,0,0,,,
214,LEPR,chr1,65886248,0,0,1,0,0,1,0,0,1,,,
215,LIN9,chr1,226418850,1,0,0,1,0,0,1,0,0,,,
216,LIX1L,chr1,145477085,0,0,0,0,0,0,0,0,0,,,
217,LMNA,chr1,156052364,0,0,0,0,0,0,0,0,0,,,
218,LRIF1,chr1,111489807,1,0,1,1,0,1,1,0,0,,,
219,LRRC40,chr1,70610488,1,0,0,1,0,0,1,0,0,,,
220,LRRC41,chr1,46726868,1,0,0,0,0,0,0,0,0,,,
221,LRRC8C,chr1,90098631,1,0,0,0,0,0,0,0,0,,,
222,LYST,chr1,235824341,1,0,0,1,0,0,1,0,0,,,
223,LZIC,chr1,9982173,1,0,0,1,0,0,1,0,0,,,
224,MACF1,chr1,39546988,1,0,0,1,0,0,1,0,0,,,
225,MAGI3,chr1,113933371,1,0,0,1,0,0,1,0,0,,,
226,MAN1C1,chr1,25943959,0,0,0,0,0,0,0,0,0,,,
227,MAP10,chr1,232940643,1,0,1,0,0,0,0,0,0,,,
228,MAP3K6,chr1,27681675,1,0,0,1,0,0,1,0,0,,,
229,MAP7D1,chr1,36621180,1,0,0,1,0,0,1,0,0,,,
230,MAPKAPK2,chr1,206858289,0,0,0,0,0,0,0,0,0,,,
231,MARCKSL1,chr1,32799433,1,0,0,1,0,0,1,0,0,,,
232,MARK1,chr1,220701568,0,0,0,0,0,0,0,0,0,,,
233,MAST2,chr1,46252659,1,0,0,1,0,0,1,0,0,,,
234,MCL1,chr1,150547032,1,0,0,0,0,0,0,0,0,,,
235,MEAF6,chr1,37958176,0,0,0,0,0,0,0,0,0,,,
236,MED8,chr1,43849588,0,0,0,0,0,0,0,0,0,,,
237,MEF2D,chr1,156433519,1,1,0,1,1,0,1,0,0,,,
238,METTL13,chr1,171750788,1,0,0,1,0,0,1,0,0,,,
239,MEX3A,chr1,156041804,1,0,0,1,0,0,1,0,0,,,
240,MFN2,chr1,12040238,1,0,0,1,0,0,1,0,0,,,
241,MGST3,chr1,165600098,0,0,0,0,0,0,0,0,0,,,
242,MIA3,chr1,222791428,0,0,0,0,0,0,0,0,0,,,
243,MIB2,chr1,1550795,1,0,0,1,0,0,1,0,0,,,
244,MIER1,chr1,67390578,1,0,0,1,0,0,1,0,0,,,
245,MKNK1,chr1,47023090,1,0,0,1,0,0,1,0,0,,,
246,MPZL1,chr1,167690429,1,0,0,0,0,0,0,0,0,,,
247,MRTO4,chr1,19578033,1,0,0,1,0,0,1,0,0,,,
248,MSTO1,chr1,155579979,1,0,0,1,0,0,1,0,0,,,
249,MTF1,chr1,38275239,1,0,0,1,0,0,1,0,0,,,
250,MTFR1L,chr1,26145131,1,0,0,1,0,0,1,0,0,,,
251,MTHFR,chr1,11845780,1,0,0,1,0,0,1,0,0,,,
252,MTX1,chr1,155178490,1,0,0,1,0,0,1,0,0,,,
253,MUC1,chr1,155158300,0,0,0,0,0,0,0,0,0,,,
254,MUL1,chr1,20825943,0,0,0,0,0,0,0,0,0,,,
255,NADK,chr1,1682671,1,0,0,0,0,0,0,0,0,,,
256,NASP,chr1,46049518,1,0,0,1,0,0,1,0,0,,,
257,NAV1,chr1,201592411,1,0,0,1,0,0,1,0,0,,,
258,NCDN,chr1,36023074,1,0,0,1,0,0,1,0,0,,,
259,NDC1,chr1,54231133,1,0,0,1,0,0,0,0,0,,,
260,NECAP2,chr1,16767167,1,0,0,1,0,0,1,0,0,,,
261,NEK7,chr1,198126093,0,0,0,0,0,0,0,0,0,,,
262,NEXN,chr1,78354198,0,0,0,0,0,0,0,0,0,,,
263,NFYC,chr1,41157320,1,0,0,0,0,0,0,0,0,,,
264,NIPAL3,chr1,24742284,1,0,0,1,0,0,1,0,0,,,
265,NMNAT1,chr1,10003486,1,0,0,1,0,0,1,0,0,,,
266,NOC2L,chr1,879584,0,0,0,0,0,0,0,0,0,,,
267,NOL9,chr1,6581407,1,0,0,0,0,0,0,0,0,,,
268,NOS1AP,chr1,162039564,1,0,0,1,0,0,1,0,0,,,
269,NOTCH2,chr1,120454176,1,0,0,1,0,0,1,0,0,,,
270,NPHP4,chr1,5922871,1,0,0,1,0,0,1,0,0,,,
271,NSL1,chr1,212899495,1,0,0,1,0,0,1,0,0,,,
272,NSUN4,chr1,46805849,0,0,0,0,0,0,0,0,0,,,
273,NUCKS1,chr1,205681947,1,0,0,1,0,0,1,0,0,,,
274,NUDC,chr1,27226729,1,0,0,1,0,0,1,0,0,,,
275,NUF2,chr1,163236366,0,0,0,0,0,0,0,0,0,,,
276,OBSCN,chr1,228395831,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
277,ODF2L,chr1,86814344,1,0,0,1,0,0,1,0,0,,,
278,ORC1,chr1,52838501,0,0,0,0,0,0,0,0,0,,,
279,OTUD3,chr1,20209006,1,0,0,1,0,0,1,0,0,,,
280,OTUD7B,chr1,149909705,1,0,0,1,0,0,1,0,0,,,
281,PABPC4,chr1,40026488,0,0,0,0,0,0,0,0,0,,,
282,PANK4,chr1,2439972,1,0,0,1,0,0,1,0,0,,,
283,PARK7,chr1,8014351,1,0,0,1,0,0,1,0,0,,,
284,PARP1,chr1,226548392,1,0,0,1,0,0,1,0,0,,,
285,PCP4L1,chr1,161228517,0,0,0,0,0,0,0,0,0,,,
286,PCSK9,chr1,55505221,0,0,1,0,0,0,0,0,0,,,
287,PDE4DIP,chr1,144836157,1,0,1,0,0,1,0,0,0,,,
288,PEA15,chr1,160175127,1,0,0,1,0,0,1,0,0,,,
289,PEAR1,chr1,156863490,0,0,0,0,0,0,0,0,0,,,
290,PEX14,chr1,10532345,1,0,0,1,0,0,1,0,0,,,
291,PFKFB2,chr1,207222801,1,0,0,1,0,0,1,0,0,,,
292,PGD,chr1,10458649,1,0,0,1,0,0,1,0,0,,,
293,PGM1,chr1,64058947,1,0,0,1,0,0,1,0,0,,,
294,PHACTR4,chr1,28696114,1,0,0,1,0,0,1,0,0,,,
295,PHC2,chr1,33789224,1,0,0,1,0,0,1,0,0,,,
296,PI4KB,chr1,151264273,1,0,0,1,0,0,1,0,0,,,
297,PIAS3,chr1,145575233,1,0,0,1,0,0,1,0,0,,,
298,PIK3C2B,chr1,204391756,1,0,0,0,0,0,0,0,0,,,
299,PIK3CD,chr1,9711790,1,0,0,0,0,0,0,0,0,,,
300,PIP5K1A,chr1,151170425,1,0,0,1,0,0,1,0,0,,,
301,PITHD1,chr1,24104895,0,0,0,0,0,0,0,0,0,,,
302,PKN2,chr1,89149905,1,0,0,1,0,0,1,0,0,,,
303,PKP1,chr1,201252580,1,0,1,1,0,1,1,0,1,,,
304,PLEKHM2,chr1,16010827,1,0,0,1,0,0,1,0,0,,,
305,PLEKHO1,chr1,150121373,0,0,0,0,0,0,0,0,0,,,
306,PMVK,chr1,154897210,1,0,0,1,0,0,1,0,0,,,
307,POGK,chr1,166808681,1,0,0,1,0,0,1,0,0,,,
308,POGZ,chr1,151375200,1,0,0,1,0,0,1,0,0,,,
309,POLR3C,chr1,145592605,1,0,0,1,0,0,1,0,0,,,
310,POLR3GL,chr1,145456236,0,0,0,0,0,0,0,0,0,,,
311,POMGNT1,chr1,46654354,0,0,0,0,0,0,0,0,0,,,
312,POU2F1,chr1,167190066,0,0,0,0,0,0,0,0,0,,,
313,PPM1J,chr1,113252616,0,0,0,0,0,0,0,0,0,,,
314,PPP1R12B,chr1,202317827,1,0,0,1,0,0,1,0,0,,,
315,PPP2R5A,chr1,212458879,1,0,0,1,0,0,1,0,0,,,
316,PRCC,chr1,156720402,1,0,0,1,0,0,1,0,0,,,
317,PRDM2,chr1,14026693,1,0,0,1,0,0,1,0,0,,,
318,PRDX1,chr1,45976708,1,0,0,1,0,0,1,0,0,,,
319,PRDX6,chr1,173446405,1,0,0,1,0,0,1,0,0,,,
320,PRKAB2,chr1,146626685,1,0,0,1,0,0,0,0,0,,,
321,PRKACB,chr1,84543745,0,0,0,0,0,0,0,0,0,,,
322,PRKCZ,chr1,1981909,1,0,0,1,0,0,1,0,0,,,
323,PROX1,chr1,214156524,0,0,1,0,0,0,0,0,0,,,
324,PRPF3,chr1,150293925,1,0,0,1,0,0,1,0,0,,,
325,PRPF38B,chr1,109234945,1,0,0,1,0,0,1,0,0,,,
326,PRRC2C,chr1,171454651,1,0,0,1,0,0,1,0,0,,,
327,PTBP2,chr1,97187221,1,0,0,1,0,0,1,0,0,,,
328,PTGFRN,chr1,117452679,1,0,0,1,0,0,1,0,0,,,
329,PTPN14,chr1,214522039,1,0,0,1,0,0,1,0,0,,,
330,PTPRU,chr1,29563028,1,0,0,1,0,0,1,0,0,,,
331,PUM1,chr1,31404353,1,0,0,1,0,0,1,0,0,,,
332,PYCR2,chr1,226107578,1,0,0,1,0,0,1,0,0,,,
333,PYGO2,chr1,154929502,1,0,0,1,0,0,1,0,0,,,
334,QSOX1,chr1,180123969,0,0,0,0,0,0,0,0,0,,,
335,RAB42,chr1,28918712,0,0,0,0,0,0,0,0,0,,,
336,RAB4A,chr1,229406822,1,0,0,1,0,0,1,0,0,,,
337,RABGAP1L,chr1,174128548,1,0,0,1,0,0,1,0,0,,,
338,RALGPS2,chr1,178694300,1,0,0,1,0,0,1,0,0,,,
339,RAP1A,chr1,112084840,0,0,1,0,0,0,0,0,0,,,
340,RAP1GAP,chr1,21922708,1,0,1,1,0,1,1,0,1,,,
341,RASAL2,chr1,178062864,0,0,0,0,0,0,0,0,0,,,
342,RASSF5,chr1,206680879,1,0,0,1,0,0,1,0,0,,,
343,RBBP4,chr1,33116743,1,0,0,1,0,0,1,0,0,,,
344,RBM15,chr1,110881128,1,0,0,1,0,0,1,0,0,,,
345,RBM34,chr1,235294498,0,0,0,0,0,0,0,0,0,,,
346,RBM8A,chr1,145507598,1,0,0,0,0,0,0,0,0,,,
347,RBMXL1,chr1,89445139,1,0,0,1,0,0,1,0,0,,,
348,RC3H1,chr1,173900352,1,0,0,0,0,0,0,0,0,,,
349,RCC1,chr1,28832455,1,0,0,1,0,0,1,0,0,,,
350,RCC2,chr1,17733256,1,0,0,1,0,0,1,0,0,,,
351,RCOR3,chr1,211431719,1,0,0,1,0,0,1,0,0,,,
352,RCSD1,chr1,167599330,0,0,0,0,0,0,0,0,0,,,
353,RER1,chr1,2323267,1,0,0,1,0,0,1,0,0,,,
354,RERE,chr1,8412457,1,0,0,1,0,0,1,0,0,,,
355,RFX5,chr1,151313116,1,0,0,1,0,0,1,0,0,,,
356,RGL1,chr1,183605220,1,0,0,1,0,0,1,0,0,,,
357,RHOC,chr1,113243728,1,0,0,1,0,0,1,0,0,,,
358,RLF,chr1,40627045,1,0,0,1,0,0,1,0,0,,,
359,RNF2,chr1,185014496,1,0,0,0,0,0,0,0,0,,,
360,RNF220,chr1,44870866,1,0,0,1,0,0,1,0,0,,,
361,RNPC3,chr1,104068313,1,0,0,0,0,0,0,0,0,,,
362,RPA2,chr1,28218035,1,0,0,1,0,0,1,0,0,,,
363,RPAP2,chr1,92764522,1,0,0,1,0,0,1,0,0,,,
364,RPL11,chr1,24018269,0,0,0,0,0,0,0,0,0,,,
365,RPRD2,chr1,150335567,1,0,0,1,0,0,1,0,0,,,
366,RPS27,chr1,153963235,0,0,0,0,0,0,0,0,0,,,
367,RPS6KA1,chr1,26856252,1,0,1,1,0,0,1,0,0,,,
368,RPS6KC1,chr1,213224589,1,0,1,1,0,1,1,0,1,,,
369,RPS8,chr1,45240923,0,0,0,0,0,0,0,0,0,,,
370,RRAGC,chr1,39303870,1,0,0,1,0,0,1,0,0,,,
371,RRP15,chr1,218458629,1,0,0,1,0,0,1,0,0,,,
